Year,DOY,Reference Name
01/04/0812,01/04/2000,NIHON-KOKI
15/04/0815,14/04/2000,NIHON-KOKI
06/04/0831,05/04/2000,NIHON-KOKI
18/04/0851,17/04/2000,MONTOKUTENNO-JITSUROKU
14/04/0853,13/04/2000,MONTOKUTENNO-JITSUROKU
09/04/0864,09/04/2000,NIPPON-SANDAI-JITSUROKU
16/04/0866,15/04/2000,NIPPON-SANDAI-JITSUROKU
05/04/0869,04/04/2000,KANKE-BUNSOU
14/04/0889,13/04/2000,NIPPON-SANDAI-JITSUROKU
19/04/0891,18/04/2000,NIHONKIRYAKU
17/04/0892,17/04/2000,FUSHIMIIN-GOKIROKKU
16/04/0894,15/04/2000,KANKE-BUNSOU
14/04/0895,13/04/2000,NIHONKIRYAKU
13/04/0896,13/04/2000,NIPPON-SANDAI-JITSUROKU
12/04/0902,11/04/2000,EST-from-WF(NIHONGI-RYAKU)
07/04/0908,07/04/2000,EST-from-WF(KIMITADA-SHU)
04/04/0912,04/04/2000,SHINGISHIKI
20/04/0913,19/04/2000,SHUI-WAKASHU
05/04/0917,04/04/2000,KINHISHO
14/04/0923,13/04/2000,ZOKU-KOKIN-WAKASHU
08/04/0926,07/04/2000,NIHONKIRYAKU
07/04/0930,06/04/2000,EST-from-WF(SHIRYO-SORAN)
16/04/0933,15/04/2000,EST-from-WF(SHIRYO-SORAN)
19/04/0941,18/04/2000,NIHONKIRYAKU
17/04/0949,16/04/2000,NIHONKIRYAKU
05/04/0950,04/04/2000,DAINIHON-SHIRYO
30/03/0955,29/03/2000,SHUISHO
22/04/0957,21/04/2000,NIHONKIRYAKU
19/04/0958,18/04/2000,NIHONKIRYAKU
07/04/0959,06/04/2000,KYUREKI
10/04/0960,10/04/2000,KYUREKI
28/03/0961,27/03/2000,NIHONKIRYAKU
04/04/0963,03/04/2000,NIHONKIRYAKU
14/04/0965,13/04/2000,NIHONKIRYAKU
08/04/0966,07/04/2000,NIHONKIRYAKU
13/04/0967,12/04/2000,NIHONKIRYAKU
08/04/0969,07/04/2000,NIHONKIRYAKU
16/04/0972,16/04/2000,EST-from-WF(SHIRYO-SORAN)
18/04/0974,17/04/2000,NIHONKIRYAKU
11/04/0975,10/04/2000,NIHONKIRYAKU
22/04/0977,21/04/2000,FUSO-RYAKKI
14/04/0979,13/04/2000,DAINIHON-SHIRYO
04/04/0985,03/04/2000,SHOYUKI
10/04/0989,09/04/2000,SHOYUKI
14/04/0991,13/04/2000,EIGA-MONOGATARI(MIHATENUYUME)
15/04/1000,14/04/2000,MIDO-KAMPAKUKI
26/04/1004,26/04/2000,MIDO-KAMPAKUKI
10/04/1006,09/04/2000,NIHONKIRYAKU
16/04/1007,15/04/2000,MIDO-KAMPAKUKI
25/04/1014,24/04/2000,DAI-SAIIN-GYOSHU
20/04/1016,20/04/2000,MIDO-KAMPAKUKI
09/04/1017,08/04/2000,MIDO-KAMPAKUKI
23/04/1018,22/04/2000,MIDO-KAMPAKUKI
08/04/1019,07/04/2000,SHOYUKI
26/04/1029,25/04/2000,REKIDAI-HENNEN-SHUSEI
